Data for figure 4c.
Drug	Migration
Rest	-0.391021081
Rest	-1.212046393
Rest	-0.278703465
Rest	-0.248722833
Rest	 1.023964534
Rest	 0.177120197
Rest	-0.142894506
Rest	-0.909009180
Rest	 0.696387620
Rest	-0.519462444
Rest	-0.339446698
Rest	 0.120981896
Rest	-1.705035163
Rest	 0.824977777
Rest	 0.852324542
Rest	 1.175440378
Rest	-0.443646231
Rest	 0.964909377
Rest	-0.537518729
Rest	-2.125675435
Rest	 0.306404541
Rest	 0.536103653
Rest	-0.497516692
Rest	-1.473574505
Rest	 0.446308451
Rest	 0.451642315
Rest	-0.263683835
Rest	 0.365113762
Rest	 0.687211743
Rest	 0.502980538
Rest	 0.266182933
Rest	-0.235097144
Rest	-0.271186084
Rest	 0.298827490
Rest	 0.025359126
Rest	 0.000000000
Rest	 0.768794623
Rest	 0.768937832
Rest	-1.694181037
Rest	 0.185707372
Rest	 0.909104149
Rest	-0.828362517
Rest	 0.245601829
Rest	-1.432420509
Rest	-1.019918026
Rest	-1.704251085
Rest	-0.351147175
Rest	-1.491464678
Rest	-2.336986272
Rest	-0.555665763
Rest	-0.375446651
Rest	-0.743174258
Rest	-1.154158502
Rest	 0.365113762
Rest	-0.296575126
Rest	-2.082543183
Rest	-1.463046199
Rest	 0.038630474
Rest	-0.283723698
Rest	-0.391021081
Rest	-0.411934719
Rest	 0.607024805
Rest	-0.811531186
Rest	-0.253703553
Rest	 0.021727553
Rest	-0.174669157
Rest	 1.149946720
Rest	 0.830059595
Rest	 0.228859569
Rest	-0.266183756
Rest	 0.562954607
Rest	 0.133147806
Rest	 0.828362517
Rest	 1.117600261
Rest	 0.601363349
Rest	 0.999928432
Rest	-0.791735014
Rest	 0.388439717
Rest	 1.069622409
Rest	 1.664948691
Rest	-0.191849099
Rest	-0.818400914
Rest	 0.505718032
Rest	-0.919961263
Rest	-1.325722179
Rest	-0.135583272
Rest	-1.268887342
Rest	-1.026046399
Rest	-1.742151311
Rest	 0.552855772
Rest	 0.138019534
Rest	 0.106405997
Rest	-0.915742791
Rest	-0.555674459
Rest	 0.258693694
Rest	-0.492067502
Rest	-0.875125793
Rest	-0.765564985
Rest	 0.642160357
Rest	 0.291267376
Rest	 1.552177111
Rest	-0.516705866
Rest	 0.055545891
Rest	-1.498758571
Rest	-0.030177708
Rest	-0.342003197
Rest	-2.354973009
Rest	-1.301678532
Rest	 0.344561908
Rest	 0.370275317
Rest	 0.657028369
Rest	-0.811531186
Rest	-0.199228823
Rest	-0.055545891
Rest	 0.433028172
Rest	 0.231337438
Rest	-0.216490735
Rest	 0.362536597
Rest	-0.172219155
Rest	-0.478507096
Rest	-0.509007125
Rest	-1.252986561
Rest	-2.042934668
Rest	-1.131134445
Rest	-0.608524906
Rest	-1.046525877
Rest	-1.271573037
Rest	-0.794924306
Rest	 0.541658583
Rest	-0.852324542
Rest	 0.016897665
Rest	 0.308934076
Rest	 0.835160336
Rest	-0.393625866
Rest	-1.347679959
Rest	-1.445936171
Rest	 0.344561908
Rest	 0.890991472
Rest	-0.705891670
Rest	 1.714495086
Rest	 1.159290959
Rest	 1.746345357
Rest	 0.840285076
Rest	-0.118550896
Rest	-0.759129280
Rest	 1.108688854
Rest	 0.231337438
Rest	 0.675065492
Rest	-1.237393190
Rest	 1.252986561
Rest	 0.273690173
Rest	 1.242557790
Rest	-0.847598078
Rest	-0.824977777
Rest	-0.660163247
Rest	-0.012069343
Rest	-0.489348329
Rest	-0.912647838
Rest	-0.089428790
Rest	 0.107661274
Rest	 1.714495086
Rest	-0.135583272
Rest	-1.365679460
Rest	 1.163539645
Rest	-0.630361435
Rest	-1.456121412
Rest	-1.052768213
Rest	-1.307279958
Rest	 0.541658583
Rest	 0.077318091
Rest	 1.780051536
Rest	-1.232261040
Rest	 1.250370977
Rest	 1.694181037
Rest	 1.061158030
Rest	 1.940041973
Rest	 1.149505401
Rest	 1.560175274
Rest	 0.716492475
Rest	 1.881302180
Rest	 1.069622409
Rest	 0.584010781
Rest	 0.530528187
Rest	 0.633302280
Rest	 1.895388634
Rest	 1.972084084
Rest	 1.506936094
Rest	 1.628037666
Rest	 0.511204316
Rest	 0.945951262
Rest	 0.818236184
Rest	-1.086823034
Rest	 0.536085171
Rest	 0.604130845
Rest	 2.006264476
Rest	-1.287861797
Rest	 1.521127547
Rest	 0.385819356
Rest	 0.142894506
Rest	 0.313999037
Rest	 1.359631142
Rest	 0.125846034
Rest	-0.483920678
Rest	 1.015887975
Rest	 0.281212705
Rest	 0.273690173
Rest	 1.610376727
Rest	 0.238779549
Rest	 0.099126618
Rest	 1.540372570
Rest	 0.896883452
Rest	 0.592800507
